,Date,Symbol,Direction,Shares
159,2018-12-20,DIS,SELL,1000
160,2018-12-21,DIS,BUY,1000
161,2018-12-24,DIS,SELL,1000
162,2018-12-26,DIS,BUY,1000
163,2019-01-02,DIS,SELL,1000
164,2019-01-03,DIS,BUY,1000
165,2019-01-04,DIS,SELL,1000
166,2019-01-07,DIS,BUY,1000
167,2019-01-09,DIS,SELL,1000
168,2019-01-10,DIS,SELL,1000
169,2019-01-16,DIS,BUY,1000
170,2019-01-17,DIS,SELL,1000
171,2019-01-23,DIS,SELL,1000
172,2019-01-28,DIS,BUY,1000
173,2019-01-29,DIS,SELL,1000
174,2019-01-30,DIS,BUY,1000
175,2019-01-31,DIS,SELL,1000
176,2019-02-01,DIS,BUY,1000
177,2019-02-04,DIS,SELL,1000
178,2019-02-05,DIS,BUY,1000
179,2019-02-06,DIS,SELL,1000
180,2019-02-11,DIS,BUY,1000
181,2019-02-22,DIS,SELL,1000
182,2019-02-25,DIS,BUY,1000
183,2019-02-26,DIS,SELL,1000
184,2019-02-28,DIS,BUY,1000
185,2019-03-01,DIS,SELL,1000
186,2019-03-04,DIS,BUY,1000
187,2019-03-05,DIS,SELL,1000
188,2019-03-07,DIS,BUY,1000
189,2019-03-08,DIS,BUY,1000
190,2019-03-11,DIS,SELL,1000
191,2019-03-12,DIS,BUY,1000
192,2019-03-13,DIS,SELL,1000
193,2019-03-14,DIS,BUY,1000
194,2019-03-15,DIS,SELL,1000
195,2019-03-18,DIS,BUY,1000
196,2019-03-19,DIS,BUY,1000
197,2019-03-22,DIS,SELL,1000
198,2019-03-25,DIS,BUY,1000
199,2019-03-28,DIS,SELL,1000
200,2019-03-29,DIS,BUY,1000
201,2019-04-01,DIS,SELL,1000
202,2019-04-02,DIS,BUY,1000
203,2019-04-10,DIS,SELL,1000
204,2019-04-11,DIS,BUY,1000
205,2019-04-12,DIS,SELL,1000
206,2019-04-15,DIS,SELL,1000
207,2019-04-16,DIS,BUY,1000
208,2019-04-18,DIS,SELL,1000
209,2019-04-23,DIS,BUY,1000
210,2019-04-25,DIS,SELL,1000
211,2019-05-03,DIS,BUY,1000
212,2019-05-06,DIS,SELL,1000
213,2019-05-07,DIS,BUY,1000
214,2019-05-08,DIS,SELL,1000
215,2019-05-09,DIS,BUY,1000
216,2019-05-10,DIS,SELL,1000
217,2019-05-13,DIS,BUY,1000
218,2019-05-15,DIS,SELL,1000
219,2019-05-16,DIS,SELL,1000
220,2019-05-23,DIS,BUY,1000
221,2019-05-24,DIS,SELL,1000
222,2019-05-28,DIS,BUY,1000
223,2019-05-29,DIS,BUY,1000
224,2019-05-30,DIS,SELL,1000
225,2019-05-31,DIS,BUY,1000
226,2019-06-04,DIS,SELL,1000
227,2019-06-06,DIS,BUY,1000
228,2019-06-07,DIS,SELL,1000
229,2019-06-10,DIS,BUY,1000
230,2019-06-11,DIS,BUY,1000
231,2019-06-13,DIS,SELL,1000
232,2019-06-14,DIS,BUY,1000
233,2019-06-17,DIS,SELL,1000
234,2019-06-18,DIS,BUY,1000
235,2019-06-19,DIS,SELL,1000
236,2019-06-20,DIS,SELL,1000
237,2019-06-21,DIS,BUY,1000
238,2019-06-24,DIS,SELL,1000
239,2019-06-25,DIS,SELL,1000
240,2019-06-26,DIS,BUY,1000
241,2019-06-27,DIS,SELL,1000
242,2019-06-28,DIS,BUY,1000
243,2019-07-02,DIS,SELL,1000
244,2019-07-05,DIS,BUY,1000
245,2019-07-08,DIS,BUY,1000
246,2019-07-09,DIS,SELL,1000
247,2019-07-10,DIS,SELL,1000
248,2019-07-16,DIS,BUY,1000
249,2019-07-17,DIS,SELL,1000
250,2019-07-18,DIS,BUY,1000
251,2019-07-19,DIS,SELL,1000
252,2019-07-22,DIS,BUY,1000
253,2019-07-23,DIS,SELL,1000
254,2019-07-24,DIS,SELL,1000
255,2019-07-30,DIS,BUY,1000
256,2019-08-01,DIS,SELL,1000
257,2019-08-05,DIS,BUY,1000
258,2019-08-06,DIS,SELL,1000
259,2019-08-07,DIS,BUY,1000
260,2019-08-08,DIS,SELL,1000
